,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
5,3.0,0.0,-1.0,-0.34375,-0.20999999999999996,0.0,0.22999999999999998,-11.0,0.27,19.0,-30.0,0.1,1.0
0,-3.0,-10.0,-4.0,-0.059523809523809534,-0.10999999999999988,2.0,0.20999999999999996,-9.0,-1.96,-21.0,-17.0,0.7000000000000001,1.0
1,-3.0,-10.0,-4.0,-0.059523809523809534,-0.10999999999999988,2.0,0.20999999999999996,-9.0,-1.96,-21.0,-17.0,0.7000000000000001,1.0
2,2.0,0.0,-1.0,-0.14743589743589736,-1.17,-5.0,0.8300000000000001,-10.0,-1.78,20.0,-29.0,1.2999999999999998,1.0
3,-1.0,0.0,-2.0,-0.08333333333333326,1.85,10.0,0.79,-8.0,-1.3699999999999999,-12.0,2.0,0.9,1.0
4,-1.0,0.0,-2.0,-0.14393939393939392,-0.8699999999999997,10.0,0.3599999999999999,-9.0,-1.5799999999999998,-19.0,-23.0,0.8,1.0
5,-1.0,0.0,-2.0,-0.14393939393939392,-0.8699999999999997,10.0,0.3599999999999999,-9.0,-1.5799999999999998,-19.0,-23.0,0.8,1.0
6,-1.0,0.0,-2.0,-0.14393939393939392,-0.8699999999999997,10.0,0.3599999999999999,-9.0,-1.5799999999999998,-19.0,-23.0,0.8,0.0
7,-3.0,0.0,0.0,0.08333333333333337,0.050000000000000266,6.0,0.8900000000000001,-6.0,-1.98,-12.0,17.0,-0.1,0.0
8,-2.0,-10.0,-5.0,0.0064102564102564985,-0.21999999999999975,21.0,-0.4099999999999999,-9.0,0.3700000000000001,4.0,-21.0,0.4,1.0
9,-2.0,0.0,-3.0,-0.36111111111111105,-0.1599999999999997,9.0,1.2600000000000002,-9.0,-0.56,-5.0,-24.0,0.6,1.0
10,-4.0,-10.0,-3.0,-0.19444444444444442,0.06000000000000005,8.0,1.1,-7.0,-1.0899999999999999,-20.0,5.0,-0.1,1.0
11,0.0,0.0,-1.0,-0.26041666666666663,-0.1599999999999997,6.0,1.12,-17.0,-1.71,7.0,-13.0,0.0,1.0
12,-4.0,0.0,-5.0,-0.2850877192982456,-0.9499999999999997,6.0,0.45999999999999996,3.0,-1.77,3.0,-8.0,0.4,1.0
0,-1.0,0.0,-1.0,-0.011904761904761973,-1.94,1.0,-0.8500000000000001,3.0,-0.1200000000000001,-4.0,-8.0,-0.6,1.0
1,-1.0,0.0,-1.0,-0.011904761904761973,-1.94,1.0,-0.8500000000000001,3.0,-0.1200000000000001,-4.0,-8.0,-0.6,0.0
2,3.0,10.0,0.0,0.06666666666666665,-1.7399999999999998,-7.0,0.56,-6.0,-0.3400000000000001,5.0,12.0,-0.4,1.0
3,3.0,10.0,0.0,0.06666666666666665,-1.7399999999999998,-7.0,0.56,-6.0,-0.3400000000000001,5.0,12.0,-0.4,1.0
4,1.0,0.0,2.0,0.08333333333333326,-1.85,-10.0,-0.79,8.0,1.3699999999999999,12.0,-2.0,-0.9,0.0
5,-1.0,0.0,-3.0,-0.12962962962962965,-2.04,-1.0,0.52,-4.0,-1.0,-9.0,-1.0,-1.0,0.0
6,3.0,0.0,0.0,-0.11111111111111116,-1.87,-4.0,1.3400000000000003,-5.0,-1.05,-16.0,-19.0,-1.0,1.0
7,-1.0,-10.0,0.0,-0.2733333333333333,-1.9099999999999997,6.0,-0.8700000000000001,4.0,-0.99,-5.0,-13.0,0.0,1.0
8,0.0,0.0,-3.0,-0.0495495495495496,-0.3700000000000001,-2.0,1.1099999999999999,-11.0,-1.1800000000000002,22.0,-18.0,-0.4,1.0
9,-2.0,0.0,0.0,-0.06060606060606066,-2.0,-1.0,2.65,0.0,-0.9700000000000001,-20.0,-41.0,0.8999999999999999,1.0
10,-4.0,0.0,-1.0,-0.19696969696969702,-3.49,12.0,1.6400000000000001,-22.0,-0.88,-13.0,-52.0,-1.0,1.0
11,0.0,0.0,0.0,-0.16666666666666674,-2.33,-3.0,0.26000000000000023,-9.0,-1.58,-32.0,-35.0,-1.0,1.0
12,2.0,0.0,5.0,-0.19047619047619047,-3.28,-12.0,0.8500000000000001,-23.0,-1.8,-38.0,-24.0,0.3999999999999999,1.0
0,3.0,0.0,5.0,-0.12738095238095237,-1.8799999999999994,7.0,-0.9400000000000004,-14.0,0.47,37.0,-42.0,0.7,1.0
1,2.0,0.0,3.0,0.0041407867494824835,1.9400000000000004,9.0,1.4999999999999996,0.0,-0.97,-33.0,-20.0,0.0,1.0
2,3.0,0.0,0.0,-0.36904761904761896,-0.5499999999999994,-5.0,0.6699999999999999,-10.0,-0.4099999999999999,67.0,-20.0,0.0,1.0
3,-1.0,0.0,2.0,-0.17965367965367962,-1.8599999999999994,1.0,-0.4600000000000004,-1.0,0.6200000000000001,-2.0,-40.0,0.9,1.0
4,-4.0,0.0,2.0,-0.08571428571428563,-0.5899999999999994,-2.0,3.2899999999999996,-10.0,0.09000000000000008,-15.0,-50.0,1.8,1.0
0,2.0,0.0,3.0,-0.09729064039408863,-1.19,-9.0,0.98,-12.0,1.14,0.0,3.0,0.5,1.0
1,3.0,0.0,3.0,-0.011904761904761862,-1.4,-12.0,0.010000000000000231,-10.0,0.5900000000000001,12.0,-11.0,-0.2,1.0
2,1.0,0.0,1.0,0.011904761904761973,1.94,-1.0,0.8500000000000001,-3.0,0.1200000000000001,4.0,8.0,0.6,0.0
3,1.0,0.0,1.0,0.011904761904761973,1.94,-1.0,0.8500000000000001,-3.0,0.1200000000000001,4.0,8.0,0.6,1.0
4,4.0,0.0,1.0,-0.09920634920634919,0.06999999999999984,-5.0,2.1900000000000004,-8.0,-0.9299999999999999,-12.0,-11.0,-0.4,1.0
5,5.0,0.0,2.0,-0.08458646616541354,-1.02,-7.0,0.41000000000000014,-1.0,-1.68,-34.0,-11.0,-0.10000000000000003,1.0
6,1.0,0.0,1.0,-0.04870129870129869,-0.7799999999999998,-1.0,0.41999999999999993,-4.0,-0.08999999999999986,-3.0,-17.0,0.5,0.0
7,2.0,0.0,2.0,-0.17626728110599077,-0.3799999999999999,-1.0,0.8400000000000003,-7.0,0.26,26.0,5.0,-0.30000000000000004,1.0
8,4.0,20.0,5.0,-0.03195488721804507,-1.12,0.0,0.2200000000000002,-25.0,-0.99,10.0,3.0,1.1,0.0
9,0.0,-10.0,1.0,-0.26142857142857134,0.03000000000000025,5.0,-0.020000000000000018,1.0,-0.8699999999999999,-1.0,-5.0,0.6,1.0
10,6.0,10.0,5.0,-0.07857142857142851,-1.53,12.0,0.5300000000000002,-14.0,-1.0099999999999998,-19.0,-27.0,0.29999999999999993,1.0
11,-2.0,0.0,1.0,0.0452380952380953,0.4900000000000002,-4.0,4.17,-13.0,-0.6199999999999999,-16.0,-27.0,1.4,1.0
12,1.0,10.0,1.0,-0.0032467532467531646,-0.7199999999999998,1.0,0.5,-11.0,-0.5,10.0,-12.0,0.19999999999999996,0.0
