first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,14,5,0,n/a,2.85,42%,3.09,52%,2.51,36%,65%,0.3
Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,"75.0""",Orthodox,11,4,0,n/a,3.13,30%,4.56,46%,0,0%,33%,0
Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"76.0""",Orthodox,22,6,1,n/a,3.03,47%,2.23,50%,1.34,80%,69%,0.3
Shamar,Bailey,n/a,"5' 9""",155 lbs.,"75.0""",n/a,12,5,0,n/a,1.56,20%,3.91,69%,1.5,33%,37%,0
Jordan,Bailey,n/a,"5' 9""",145 lbs.,n/a,n/a,5,1,0,n/a,1.74,40%,0.29,0%,4.35,100%,0%,4.3
Scott,Baker,n/a,"6' 0""",210 lbs.,n/a,n/a,1,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Bryan,Baker,The Beast,"6' 3""",185 lbs.,n/a,Orthodox,16,3,0,n/a,1.78,52%,2.83,45%,0.44,50%,37%,0.9
Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,2,0,n/a,1.89,42%,2,51%,0,0%,33%,0
Stephen,Banaszak,n/a,"6' 0""",145 lbs.,n/a,n/a,5,4,0,n/a,4.2,47%,1.15,66%,0,0%,100%,1.9
Marcin,Bandel,Bomba,"5' 10""",155 lbs.,"70.0""",Orthodox,13,4,0,n/a,0.79,50%,5.26,23%,0,0%,0%,0
Tae Hyun,Bang,The Korean Cowboy,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,n/a,2.72,38%,2.07,66%,0.49,33%,57%,0.5
Yohan,Banks,n/a,n/a,n/a,n/a,n/a,2,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Antonio,Banuelos,n/a,"5' 5""",135 lbs.,"63.0""",Orthodox,19,7,1,n/a,2.71,33%,3.3,58%,1.38,58%,85%,0.4
Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,36,4,0,n/a,3.64,34%,3.5,60%,1.46,43%,97%,0.6
